sample_id,gold,prediction,prediction_arabic_only,correct,failed_label,score,threshold,predicted_failed
arabic_onetoken_0031,تقدم,تقدم,تقدم,1,0,-0.0041716415,0.0026862919,0
arabic_onetoken_0032,عادة,عادة,عادة,1,0,-0.0024255058,0.0026862919,0
arabic_onetoken_0033,مرة,مرة,مرة,1,0,-0.0021010665,0.0026862919,0
arabic_onetoken_0034,ظهور,ظهور,ظهور,1,0,0.0064157322,0.0026862919,1
arabic_onetoken_0035,درجة,درجة,درجة,1,0,-0.0046694754,0.0026862919,0
arabic_onetoken_0036,سان,سَان,سان,1,0,0.0089730136,0.0026862919,1
arabic_onetoken_0037,وسط,وسط,وسط,1,0,0.0018778737,0.0026862919,0
arabic_onetoken_0038,خاص,خاص,خاص,1,0,-0.0058050836,0.0026862919,0
arabic_onetoken_0039,ولا,ولا,ولا,1,0,0.0191665702,0.0026862919,1
arabic_onetoken_0040,عالم,عالم,عالم,1,0,-0.0021238998,0.0026862919,0
arabic_onetoken_0041,وفي,وفيب,وفيب,0,1,0.0026862985,0.0026862919,1
arabic_onetoken_0042,تاريخ,تاريخ,تاريخ,1,0,-0.0019475096,0.0026862919,0
arabic_onetoken_0043,محطة,محطة,محطة,1,0,-0.0042129587,0.0026862919,0
arabic_onetoken_0044,مناطق,مناطق,مناطق,1,0,-0.0103583857,0.0026862919,0
arabic_onetoken_0045,قيادة,قيادة,قيادة,1,0,-0.0027162097,0.0026862919,0
arabic_onetoken_0046,وضع,وضع,وضع,1,0,-0.0029718485,0.0026862919,0
arabic_onetoken_0047,قام,قائم,قائم,0,1,0.0141637195,0.0026862919,1
arabic_onetoken_0048,علي,علي,علي,1,0,0.0040614554,0.0026862919,1
arabic_onetoken_0049,سطح,سلطح,سلطح,0,1,0.0032508695,0.0026862919,1
arabic_onetoken_0050,دون,دون,دون,1,0,0.0066673793,0.0026862919,1
arabic_onetoken_0051,قاعدة,قاعدة,قاعدة,1,0,-0.0118321218,0.0026862919,0
arabic_onetoken_0052,مجموعة,مجموعة,مجموعة,1,0,-0.0140207317,0.0026862919,0
arabic_onetoken_0053,حسب,حسب,حسب,1,0,0.0024982621,0.0026862919,0
arabic_onetoken_0054,بدأ,بدأ,بدأ,1,0,0.0071761189,0.0026862919,1
arabic_onetoken_0055,حركة,حركة,حركة,1,0,-0.0013989657,0.0026862919,0
arabic_onetoken_0056,وجود,وجود,وجود,1,0,0.0017746659,0.0026862919,0
arabic_onetoken_0057,مركز,مركز,مركز,1,0,-0.0065096486,0.0026862919,0
arabic_onetoken_0058,جون,جون,جون,1,0,0.0070271729,0.0026862919,1
arabic_onetoken_0059,غرب,غرب,غرب,1,0,0.0005705832,0.0026862919,0
arabic_onetoken_0060,وقع,وقع,وقع,1,0,0.0127434535,0.0026862919,1
arabic_onetoken_0061,عقد,عقد,عقد,1,0,0.0014564348,0.0026862919,0
arabic_onetoken_0062,وجه,وجهه,وجهه,0,1,0.0057823397,0.0026862919,1
arabic_onetoken_0063,جمع,جمع,جمع,1,0,0.0055708932,0.0026862919,1
arabic_onetoken_0064,حدث,حدث,حدث,1,0,0.0093789306,0.0026862919,1
arabic_onetoken_0065,إدارة,إدارة,إدارة,1,0,0.0010624276,0.0026862919,0
arabic_onetoken_0066,سبب,سبب,سبب,1,0,0.0040377304,0.0026862919,1
arabic_onetoken_0067,سجن,سجن,سجن,1,0,0.0014795824,0.0026862919,0
arabic_onetoken_0068,داخل,داخل,داخل,1,0,-0.0057484442,0.0026862919,0
arabic_onetoken_0069,مشروع,مشروع,مشروع,1,0,-0.0099749435,0.0026862919,0
arabic_onetoken_0070,قرار,قرار,قرار,1,0,0.0023129107,0.0026862919,0
arabic_onetoken_0071,فتح,فتح,فتح,1,0,-0.0033758143,0.0026862919,0
arabic_onetoken_0072,تأثير,تأثير,تأثير,1,0,0.0002300064,0.0026862919,0
arabic_onetoken_0073,منظمة,منظمة,منظمة,1,0,-0.0131505746,0.0026862919,0
arabic_onetoken_0074,تحقق,تحقق,تحقق,1,0,-0.0042582583,0.0026862919,0
arabic_onetoken_0075,تذكر,تذكر,تذكر,1,0,0.0000322247,0.0026862919,0
arabic_onetoken_0076,مجلس,مجلس,مجلس,1,0,-0.0071235793,0.0026862919,0
arabic_onetoken_0077,قوى,قوى,قوى,1,0,0.0050895549,0.0026862919,1
arabic_onetoken_0078,لاعب,لاعب,لاعب,1,0,0.0021740370,0.0026862919,0
arabic_onetoken_0079,فصل,فصل,فصل,1,0,-0.0031106565,0.0026862919,0
arabic_onetoken_0080,تصل,تصل,تصل,1,0,-0.0007320140,0.0026862919,0
arabic_onetoken_0081,خطوط,خطوط,خطوط,1,0,0.0039795642,0.0026862919,1
arabic_onetoken_0082,أحداث,أحداث,أحداث,1,0,0.0011149407,0.0026862919,0
arabic_onetoken_0083,شبه,شبه,شبه,1,0,0.0009520408,0.0026862919,0
arabic_onetoken_0084,تغيير,تغير,تغير,0,1,-0.0078393547,0.0026862919,0
arabic_onetoken_0085,فحص,فحص,فحص,1,0,-0.0012924420,0.0026862919,0
arabic_onetoken_0086,تصريح,تصريح,تصريح,1,0,-0.0017832196,0.0026862919,0
arabic_onetoken_0087,أغلب,أغلب,أغلب,1,0,-0.0015765815,0.0026862919,0
arabic_onetoken_0088,حين,حين,حين,1,0,-0.0053248117,0.0026862919,0
arabic_onetoken_0089,فهم,فَمْ,فم,0,1,0.0186570063,0.0026862919,1
arabic_onetoken_0090,حاول,حاول,حاول,1,0,0.0033292985,0.0026862919,1
arabic_onetoken_0091,طول,طول,طول,1,0,-0.0033866316,0.0026862919,0
arabic_onetoken_0092,عبارة,عبارة,عبارة,1,0,-0.0099535380,0.0026862919,0
arabic_onetoken_0093,إرسال,إرسال,إرسال,1,0,-0.0000240640,0.0026862919,0
arabic_onetoken_0094,شعب,شعب,شعب,1,0,-0.0033869976,0.0026862919,0
arabic_onetoken_0095,رؤية,رَوْقية,روقية,0,1,0.0032097851,0.0026862919,1
arabic_onetoken_0096,أماكن,أماكن,أماكن,1,0,-0.0017834594,0.0026862919,0
arabic_onetoken_0097,جزيرة,جزيرة,جزيرة,1,0,-0.0117387921,0.0026862919,0
arabic_onetoken_0098,توفر,توفر,توفر,1,0,-0.0009703487,0.0026862919,0
arabic_onetoken_0099,ثقافة,ثقافة,ثقافة,1,0,-0.0041251229,0.0026862919,0
arabic_onetoken_0100,بناء,بناء,بناء,1,0,-0.0001410758,0.0026862919,0
arabic_onetoken_0101,خمس,خمس,خمس,1,0,-0.0045420481,0.0026862919,0
arabic_onetoken_0102,صور,صور,صور,1,0,-0.0049981824,0.0026862919,0
arabic_onetoken_0103,شرق,شرق,شرق,1,0,-0.0022295369,0.0026862919,0
arabic_onetoken_0104,ريد,رِيد,ريد,1,0,0.0094959857,0.0026862919,1
arabic_onetoken_0105,كشف,كشف,كشف,1,0,-0.0005354360,0.0026862919,0
arabic_onetoken_0106,توقيع,توقيع,توقيع,1,0,-0.0045447382,0.0026862919,0
arabic_onetoken_0107,أعضاء,أعضاء,أعضاء,1,0,-0.0031036986,0.0026862919,0
arabic_onetoken_0108,إجراء,إجراء,إجراء,1,0,0.0062325364,0.0026862919,1
arabic_onetoken_0109,اختبار,اختيار,اختيار,0,1,0.0010605333,0.0026862919,0
arabic_onetoken_0110,ضغط,ضغطا,ضغطا,0,1,0.0060006608,0.0026862919,1
arabic_onetoken_0111,سرعة,سرعة,سرعة,1,0,-0.0059621809,0.0026862919,0
arabic_onetoken_0112,معلومات,معلومات,معلومات,1,0,-0.0063891318,0.0026862919,0
arabic_onetoken_0113,عروض,عروض,عروض,1,0,-0.0097884983,0.0026862919,0
arabic_onetoken_0114,اجتماع,اجتماع,اجتماع,1,0,-0.0046565775,0.0026862919,0
arabic_onetoken_0115,حرف,حرف,حرف,1,0,0.0007176558,0.0026862919,0
arabic_onetoken_0116,اتحاد,اتحاد,اتحاد,1,0,-0.0016607069,0.0026862919,0
arabic_onetoken_0117,تكلفة,تكلفة,تكلفة,1,0,-0.0056959866,0.0026862919,0
arabic_onetoken_0118,ساعد,ساعد,ساعد,1,0,-0.0044914861,0.0026862919,0
arabic_onetoken_0119,مشاكل,مشاكل,مشاكل,1,0,-0.0122830383,0.0026862919,0
